NomeTabella370,NomeTabellaNewEra
"Assortment Ledger Entry","Assortment Ledger Entry"
"Assortment Quantity","Assortment Quantity"
"Assortment Variable Group","Assortment Variable Group"
"Budget Header","Budget Header"
"Budget Line","Budget Line"
"CFG Variant","CFG Variant"
"CFG Variant Detail","CFG Variant Detail"
"Collection","Collection"
"Comment Codes","Comment Code"
"Comment Line","Comment Line"
"Company Information","Company Information"
"Cross-Reference Model Item","Model Item Cross Reference"
"Cust_ Ledger Entry","Cust_ Ledger Entry"
"Customer","Customer"
"Customer Price Group","Customer Price Group"
"DDT_Picking Header","DDT_Picking Header"
"DDT_Picking Line","DDT_Picking Line"
"Detailed Cust_ Ledg_ Entry","Detailed Cust_ Ledg_ Entry"
"Document Dimension","UNK"
"External Linked Documents","External Linked Document"
"Geographical Zone","Geographical Zone"
"Inv_ Data Report Line","UNK"
"Item","Item"
"Item Cross Reference","Item Cross Reference"
"Item Ledger Entry","Item Ledger Entry"
"Item Unit of Measure","Item Unit of Measure"
"Item-Model Value Per Config_","Item-Model Value for Config_"
"Model Item Component","Model Item Component"
"Model Item Variable Group","Model Item Variable Group"
"No Buy Reason Code","No Buy Reason Code"
"NSP_FattureClientiAgenti","Cust_ Invoices per Salesperson"
"NSP_StoricoFattClientiAgenti","PaiedOff Commissions"
"Part","Part"
"Posted Document Dimension","UNK"
"Purch_ Price Model Item","Purch_ Price Model Item"
"Purch_ Rcpt_ Header","Purch_ Rcpt_ Header"
"Purch_ Rcpt_ Line","Purch_ Rcpt_ Line"
"Purchase Header","Purchase Header"
"Purchase Line","Purchase Line"
"Purchase Line Discount","Purchase Line Discount"
"Purchase Price","Purchase Price"
"Reserv__Assign_ Batch","Reserv__Assign_ Batch"
"Reserv__Assign_ Line","Reserv__Assign_ Line"
"Reserv__Assign_ Link","Reserv__Assign_ Link"
"Sales Comment Line","Sales Comment Line"
"Sales Cr_Memo Header","Sales Cr_Memo Header"
"Sales Cr_Memo Line","Sales Cr_Memo Line"
"Sales Header","Sales Header"
"Sales Invoice Header","Sales Invoice Header"
"Sales Invoice Line","Sales Invoice Line"
"Sales Line","Sales Line View"
"Sales Line Discount","Sales Line Discount"
"Sales Price","Sales Price"
"Sales Price Model Item","Sales Price Model Item"
"Salesperson_Purchaser","Salesperson_Purchaser"
"Season","Season"
"Shipment Method","Shipment Method"
"Shipping Agent","Shipping Agent"
"Ship-to Address","Ship-to Address"
"Sim_ Cust_ Ledger Entry","Cust_ Ledger Entry EAM"
"Sim_Detailed Cust_ Ledg_ Entry","Dtld_ Cust_ Ledg_ Entry EAM"
"Trademark","Trademark"
"Transfer Header","Transfer Header"
"Transfer Line","Transfer Line"
"Transfer Shipment Header","Transfer Shipment Header"
"Transfer Shipment Line","Transfer Shipment Line"
"Valid Model Item Assortments","Valid Model Item Assortments"
"Values for Fields","Values for Fields"
"Variable Code","Variable Code"
"Variable Group","Variable Group"
"Variable Type","Variable Type"
"Vendor","Vendor"
"Vendor Bank Account","Vendor Bank Account"
"Dimension Set Entry","Dimension Set Entry"
"Sales Header Extension","Sales Header Extension"
"Customer Bank Account","Customer Bank Account"
"Sales Shipment Header","Sales Shipment Header"
"Sales Shipment Line","Sales Shipment Line"
"Transport Reason Code","Transport Reason Code"
"Cust_ Invoices per Salesperson","Cust_ Invoices per Salesperson"
"PaiedOff Commission","PaiedOff Commission"
"Assortment Ledger Entry Item","Assortment Ledger Entry Item"
"Cust_ Ledger Entry EAM","Cust_ Ledger Entry EAM"
"Dtld_ Cust_ Ledg_ Entry EAM","Dtld_ Cust_ Ledg_ Entry EAM"
"Return Receipt Header","Return Receipt Header"
"Return Receipt Line","Return Receipt Line"
"G_L Entry","G_L Entry"
"Purch_ Inv_ Header","Purch_ Inv_ Header"
"Purch_ Cr_ Memo Hdr_","Purch_ Cr_ Memo Hdr_"
"Comm_ Dati Error Log","Comm_ Dati Error Log"
"VAT Entry","VAT Entry"
"To-do","To-do"
"Customer Recipient Relation","Customer Recipient Relation"
"FE Document","FE Document"
"FE Header","FE Header"
"Detailed Vendor Ledg_ Entry","Detailed Vendor Ledg_ Entry"
"Vendor Ledger Entry","Vendor Ledger Entry"
"KIMO-FSH Item Availability","KIMO-FSH Item Availability"
"Purch_ Inv_ Line","Purch_ Inv_ Line"
"FE SDI Log","FE SDI Log"
"Purch_ Cr_ Memo Line","Purch_ Cr_ Memo Line"
"Issued Reminder Header","Issued Reminder Header"
"Issued Reminder Line","Issued Reminder Line"
"DDT Added Line","DDT Added Line"
"GL Book Entry","GL Book Entry"
"G_L Account","G_L Account"
"KIMO-FASHION Item","KIMO-FASHION Item"
"Warehouse Entry","Warehouse Entry"
"Return Shipment Line","Return Shipment Line"
"Return Shipment Header","Return Shipment Header"
"Document Packaging Header","Document Packaging Header"
"Document Packaging Line","Document Packaging Line"
"Location","Location"
"Tariff Number","Tariff Number"
"KIMO-FASHION Sales Order Hdr","KIMO-FASHION Sales Order Hdr"
"KIMO-FASHION Sales Order Line","KIMO-FASHION Sales Order Line"
"KIMO-FASHION Table Value","KIMO-FASHION Table Value"
"KIMO-FASHION Table","KIMO-FASHION Table"
"Transfer Receipt Line","Transfer Receipt Line"
"Transfer Receipt Header","Transfer Receipt Header"
"Unique Identifier Documents","Unique Identifier Documents"
"Unique Identifier Pst_ Docnts","Unique Identifier Pst_ Docnts"
"Item Identifier","Item Identifier"
"Registered Whse_ Activity Hdr_","Registered Whse_ Activity Hdr_"
"Registered Whse_ Activity Line","Registered Whse_ Activity Line"
"Warehouse Activity Header","Warehouse Activity Header"
"Warehouse Activity Line","Warehouse Activity Line"
"Warehouse Basic Cue","Warehouse Basic Cue"
"Warehouse Class","Warehouse Class"
"Warehouse Comment Line","Warehouse Comment Line"
"Warehouse Employee","Warehouse Employee"
"Warehouse Entry","Warehouse Entry"
"Warehouse Journal Batch","Warehouse Journal Batch"
"Warehouse Journal Line","Warehouse Journal Line"
"Warehouse Journal Template","Warehouse Journal Template"
"Warehouse Packing List","Warehouse Packing List"
"Warehouse Phase","Warehouse Phase"
"Warehouse Phase Cycle","Warehouse Phase Cycle"
"Warehouse Receipt Header","Warehouse Receipt Header"
"Warehouse Receipt Line","Warehouse Receipt Line"
"Warehouse Register","Warehouse Register"
"Warehouse Request","Warehouse Request"
"Warehouse Setup","Warehouse Setup"
"Warehouse Shipm_ Assigned Qty_","Warehouse Shipm_ Assigned Qty_"
"Warehouse Shipment Details","Warehouse Shipment Details"
"Warehouse Shipment Header","Warehouse Shipment Header"
"Warehouse Shipment Line","Warehouse Shipment Line"
"Warehouse Source Filter","Warehouse Source Filter"
"Warehouse Specialities","Warehouse Specialities"
"Warehouse WMS Cue","Warehouse WMS Cue"
"Warehouse Worker WMS Cue","Warehouse Worker WMS Cue"
"Value Entry","Value Entry"
"Whse_ Internal Pick Header","Whse_ Internal Pick Header"
"Whse_ Internal Pick Line","Whse_ Internal Pick Line"
"Whse_ Internal Put-away Header","Whse_ Internal Put-away Header"
"Whse_ Internal Put-away Line","Whse_ Internal Put-away Line"
"Whse_ Pick Request","Whse_ Pick Request"
"Whse_ Put-away Request","Whse_ Put-away Request"
"Posted Whse_ Receipt Header","Posted Whse_ Receipt Header"
"Posted Whse_ Receipt Line","Posted Whse_ Receipt Line"
"Posted Whse_ Shipment Header","Posted Whse_ Shipment Header"
"Posted Whse_ Shipment Line","Posted Whse_ Shipment Line"
"Warehouse Entry","Warehouse Entry"
"Bin Content","Bin Content"
